AIRPORT_SEQ_ID;ID;AIRPORT;DISPLAY_AIRPORT_NAME;AIRPORT_COUNTRY_CODE_ISO;AIRPORT_STATE_NAME;LATITUDE;LONGITUDE;AIRPORT_IS_CLOSED
1357302;13573;MYJ;Matsuyama Airport;JP;;33.82722222;132.6997222;0
1357405;13574;MYK;May Creek Airport;US;Alaska;61.33611111;-142.6858333;0
1357502;13575;MYL;McCall Municipal;US;Idaho;44.88861111;-116.1016667;0
1357603;13576;MYP;Mary Airport;TM;;37.6225;61.89666667;0
1357702;13577;MYR;Myrtle Beach International;US;South Carolina;33.67972222;-78.92833333;0
1357806;13578;MYT;Myitkyina Airport;MM;;25.38388889;97.35361111;0
1357905;13579;MYU;Mekoryuk Airport;US;Alaska;60.3725;-166.2702778;0
1358002;13580;MYV;Yuba County;US;California;39.09777778;-121.5697222;0
1358102;13581;MYW;Mtwara Airport;TZ;;-10.33916667;40.18166667;0
1358203;13582;MYY;Miri Airport;MY;;4.3225;113.9872222;0
1358402;13584;MZB;Mocimboa Da Praia Airport;MZ;;-11.36166667;40.355;0
1358501;13585;MZG;Ma Kung AB;TW;;23.56916667;119.6186111;0
1358602;13586;MZI;Ambodedjo;ML;;14.51277778;-4.07944444;0
1358702;13587;MZJ;Pinal Airpark;US;Arizona;32.50972222;-111.3252778;0
1358801;13588;MZK;Marakei Airport;KI;;1.98333333;173.6666667;0
1358904;13589;MZL;La Nubia;CO;;5.03;-75.46527778;0
1359001;13590;MZM;Metz-Nancy Metz-Frescaty;FR;;49.0725;6.13444444;0
1359101;13591;MZN;Minj Airport;PG;;-5.90555556;144.6766667;0
1359206;13592;MZO;Sierra Maestra International;CU;;20.28805556;-77.08916667;0
1359307;13593;MZR;Mawlana Jalaluddin Muhammad Balkhi;AF;;36.70638889;67.21611111;0
1359405;13594;MZT;General Rafael Buelna International;MX;;23.16138889;-106.2644444;0
1359503;13595;MZZ;Marion Municipal;US;Indiana;40.49;-85.67972222;0
1359602;13596;N47;Pottstown Municipal;US;Pennsylvania;40.26055556;-75.67083333;0
1359701;13597;N87;Trenton-Robbinsville;US;New Jersey;40.21388889;-74.60166667;0
1359802;13598;NAA;Narrabri Airport;AU;;-30.31916667;149.8272222;0
1359907;13599;NAD;Harriman-and-West;US;Massachusetts;42.69638889;-73.17055556;0
1360002;13600;NAG;Dr. Baba Saheb Ambedkar International;IN;;21.0975;79.04305556;0
1360101;13601;NAK;Nakhon Ratchasima Airport;TH;;14.94944444;102.3127778;0
1360203;13602;NAN;Nadi International;FJ;;-17.755;177.4436111;0
1360301;13603;NAO;Nanchong Airport;CN;;30.8;106.0666667;0
1360405;13604;NAP;Capodichino;IT;;40.88444444;14.29083333;0
1360505;13605;NAS;Lynden Pindling International;BS;;25.03888889;-77.46611111;0
1360607;13606;NAT;Augusto Severo;BR;;-5.90833333;-35.24916667;0
1360702;13607;NAU;Napuka;PF;;-14.17666667;-141.2672222;0
1360905;13609;NAZ;Nana;SB;;-10.67583333;162.205;0
1361002;13610;NBA;Nambaiyufa Airport;PG;;-6.25;145.2333333;1
1361102;13611;NBC;Begishevo;RU;;55.56472222;52.0925;0
1361202;13612;NBG;New Orleans NAS JRB;US;Louisiana;29.82722222;-90.02666667;0
1361301;13613;NBJ;Newburgh Airport;US;New York;41.53333333;-72.04305556;1
1361402;13614;BKK;Suvarnabhumi International;TH;;13.68083333;100.7477778;0
1361602;13616;NBO;Nairobi Jomo Kenyatta International;KE;;-1.31666667;36.93138889;0
1361701;13617;NBU;Glenview NAS;US;Illinois;42.08333333;-87.81833333;1
1361805;13618;NBW;Guantanamo Bay NS;CU;;19.90666667;-75.20694444;0
1361902;13619;NC1;Gastonia Municipal;US;North Carolina;35.20277778;-81.15;0
1362004;13620;NC2;Johnston Regional;US;North Carolina;35.54083333;-78.39027778;0
1362102;13621;NC3;Shelby-Cleveland County Regional;US;North Carolina;35.25583333;-81.60083333;0
1362202;13622;NC4;Currituck County Regional;US;North Carolina;36.4;-76.01555556;0
1362301;13623;NC5;Duplin County;US;North Carolina;35;-77.98166667;0
1362406;13624;NCA;North Caicos International;TC;;21.91722222;-71.94055556;0
1362505;13625;NCE;Nice Cote D Azur;FR;;43.65833333;7.21583333;0
1362602;13626;NCH;Nachingwea Airport;TZ;;-10.35833333;38.78027778;0
1362702;13627;NCI;Necocli Airport;CO;;8.45333333;-76.77888889;0
1362806;13628;NCL;Newcastle Airport;GB;;55.03805556;-1.68972222;0
1362904;13629;NCN;Chenega Bay;US;Alaska;60.07861111;-147.9947222;0
1363001;13630;NCO;Quonset State Air Reserve National Guard Helipad;US;Rhode Island;41.59944444;-71.41666667;0
1363101;13631;NCP;Cubi Point NAS;PH;;14.79444444;120.2713889;1
1363204;13632;NCQ;Dobbins ARB;US;Georgia;33.91444444;-84.51416667;0
1363302;13633;NCS;Newcastle Airport;ZA;;-27.77055556;29.97666667;0
1363406;13634;NCT;Miguel Angel Castillo Zumbado;CR;;10.13944444;-85.44555556;0
1363502;13635;NCU;Nukus Airport;UZ;;42.48916667;59.62277778;0
1363605;13636;NCY;Annecy Meythet;FR;;45.92916667;6.09888889;0
1363705;13637;ND1;Robert Odegaard Field;US;North Dakota;46.64861111;-96.99888889;0
1363802;13638;NDB;Nouadhibou Airport;MR;;20.93305556;-17.03;0
1363901;13639;NDC;Nanded Airport;IN;;19.18138889;77.32555556;0
1364105;13641;NDJ;Hassan Djamous;TD;;12.13361111;15.03388889;0
1364203;13642;NDL;Ndele Airport;CF;;8.42694444;20.635;0
